Title,Code
Fabricated Gutters and Downspouts,07 62 23
Fabricated Roof Expansion Joints,07 62 29
Fabricated Scuppers,07 62 33
Standing Seam Sheet Metal Wall Cladding,07 64 13
Batten Seam Sheet Metal Wall Cladding,07 64 16
Flat Seam Sheet Metal Wall Cladding,07 64 19
Laminated Sheet Flashing,07 65 13
Modified Bituminous Sheet Flashing,07 65 16
Plastic Sheet Flashing,07 65 19
Rubber Sheet Flashing,07 65 23
Self-Adhering Sheet Flashing,07 65 26
Manufactured Copings,07 71 13
Manufactured Counterflashing Systems,07 71 16
Manufactured Gravel Stops and Fasciae,07 71 19
Manufactured Gutters and Downspouts,07 71 23
Reglets,07 71 26
Manufactured Roof Expansion Joints,07 71 29
Manufactured Scuppers,07 71 33
Manufactured Curbs,07 72 13
Relief Vents,07 72 23
Ridge Vents,07 72 26
Roof Hatches,07 72 33
Smoke Vents,07 72 36
Operable Roof Vents,07 72 39
Roof Walk Boards,07 72 43
Roof Walkways,07 72 46
Snow Guards,07 72 53
Waste Containment Assemblies,07 72 63
Vegetated Roof Systems,07 72 73
Roof Ballast Pavers,07 76 13
Roof Decking Pavers,07 76 16
Cement Aggregate Fireproofing,07 81 13
Cementitious Fireproofing,07 81 16
Foamed Magnesium-Oxychloride Fireproofing,07 81 19
Intumescent Fireproofing,07 81 23
Magnesium Cement Fireproofing,07 81 26
Mineral-Fiber Cementitious Fireproofing,07 81 29
Mineral-Fiber Fireproofing,07 81 33
Calcium-Silicate Board Fireproofing,07 82 13
Slag-Fiber Board Fireproofing,07 82 16
Penetration Firestopping,07 84 13
Joint Firestopping,07 84 43
Building Perimeter Firestopping,07 84 53
Compression Seals,07 91 13
Joint Gaskets,07 91 16
Backer Rods,07 91 23
Joint Fillers,07 91 26
Elastomeric Joint Sealants,07 92 13
Rigid Joint Sealants,07 92 16
Acoustical Joint Sealants,07 92 19
Expansion Joint Cover Assemblies,07 95 13
Joint Slide Bearings,07 95 53
Bridge Expansion Joint Cover Assemblies,07 95 63
Hollow Metal Doors and Frames,08 11 13
Aluminum Doors and Frames,08 11 16
Stainless-Steel Doors and Frames,08 11 19
Bronze Doors and Frames,08 11 23
Metal Screen and Storm Doors and Frames,08 11 63
Metal Screen Doors and Frames,08 11 66
Metal Storm Doors and Frames,08 11 69
Sliding Metal Fire Doors,08 11 73
Sliding Metal Grilles,08 11 74
Hollow Metal Frames,08 12 13
Aluminum Frames,08 12 16
Stainless-Steel Frames,08 12 19
Bronze Frames,08 12 23
Hollow Metal Doors,08 13 13
Aluminum Doors,08 13 16
Stainless-Steel Doors,08 13 19
Bronze Doors,08 13 23
Sliding Metal Doors,08 13 73
Bifolding Metal Doors,08 13 76
Carved Wood Doors,08 14 13
Flush Wood Doors,08 14 16
Clad Wood Doors,08 14 23
Prefinished Wood Doors,08 14 29
Stile and Rail Wood Doors,08 14 33
Wood Screen Doors,08 14 66
Wood Storm Doors,08 14 69
Sliding Wood Doors,08 14 73
Bifolding Wood Doors,08 14 76
Laminated Plastic Doors,08 15 13
Solid Plastic Doors,08 15 16
Plastic Screen Doors,08 15 66
Plastic Storm Doors,08 15 69
Sliding Plastic Doors,08 15 73
Bifolding Plastic Doors,08 15 76
Fiberglass Doors,08 16 13
Sliding Composite Doors,08 16 73
Bifolding Composite Doors,08 16 76
Integrated Metal Door Opening Assemblies,08 17 13
Integrated Wood Door Opening Assemblies,08 17 23
Integrated Plastic Door Opening Assemblies,08 17 33
Integrated Composite Door Opening Assemblies,08 17 43
Swinging Glass Doors,08 18 13
Sliding Glass Doors,08 18 16
Bifolding Glass Doors,08 18 19
Access Doors and Frames,08 31 13
Access Panels and Frames,08 31 16
Floor Doors,08 31 23
Coiling Counter Doors,08 33 13
Coiling Counter Grilles,08 33 16
Overhead Coiling Doors,08 33 23
Overhead Coiling Grilles,08 33 26
Side Coiling Doors,08 33 33
Side Coiling Grilles,08 33 36
Overhead Coiling Smoke Curtains,08 33 43
Overhead Coiling Fire Curtains,08 33 44
Cold Storage Doors,08 34 13
Hangar Doors,08 34 16
Industrial Doors,08 34 19
Lightproof Doors,08 34 33
Darkroom Doors,08 34 36
Radio-Frequency-Interference Shielding Doors,08 34 46
Radiation Shielding Doors and Frames,08 34 49
Security Doors and Frames,08 34 53
Security Gates,08 34 56
File Room Doors and Frames,08 34 58
Vault Doors and Day Gates,08 34 59
Sound Control Door Assemblies,08 34 73
Folding Doors,08 35 13
Folding Grilles,08 35 16
Sectional Doors,08 36 13
Single-Panel Doors,08 36 16
Multi-Leaf Vertical Lift Doors,08 36 19
Telescoping Vertical Lift Doors,08 36 23
Flexible Strip Doors,08 38 13
Flexible Traffic Doors,08 38 16
Rigid Traffic Doors,08 38 19
Airtight Doors,08 39 13
Watertight Doors,08 39 19
Tornado Resistant Door Assemblies,08 39 23
Blast-Resistant Doors,08 39 53
Aluminum-Framed Entrances and Storefronts,08 41 13
Bronze-Framed Entrances and Storefronts,08 41 16
Stainless-Steel-Framed Entrances and Storefronts,08 41 19
Steel-Framed Entrances and Storefronts,08 41 23
All-Glass Entrances and Storefronts,08 41 26
Aluminum-Framed Entrances,08 42 13
All-Glass Entrances,08 42 26
Automatic Entrances,08 42 29
Revolving Door Entrances,08 42 33
Balanced Door Entrances,08 42 36
Pressure-Resistant Entrances,08 42 39
Intensive Care Unit/Critical Care Unit Entrances,08 42 43
Timber-Framed Storefronts,08 43 11
Aluminum-Framed Storefronts,08 43 13
Bronze-Framed Storefronts,08 43 16
Stainless-Steel-Framed Storefronts,08 43 19
Steel-Framed Storefronts,08 43 23
All-Glass Storefronts,08 43 26
Channel Glass Storefronts,08 43 27
Sliding Storefronts,08 43 29
Glazed Timber Curtain Walls,08 44 11
Glazed Composite Curtain Wall,08 44 12
Glazed Aluminum Curtain Walls,08 44 13
Glazed Bronze Curtain Walls,08 44 16
Glazed Steel Curtain Walls,08 44 18
Glazed Stainless-Steel Curtain Walls,08 44 19
Structural Sealant Glazed Curtain Walls,08 44 23
Structural Glass Curtain Walls,08 44 26
Sloped Glazing Assemblies,08 44 33
Structured-Polycarbonate-Panel Assemblies,08 45 13
Fiberglass-Sandwich-Panel Assemblies,08 45 23
Aluminum Windows,08 51 13
Bronze Windows,08 51 16
Stainless-Steel Windows,08 51 19
Steel Windows,08 51 23
Metal Window Screens,08 51 66
Metal Storm Windows,08 51 69
Metal-Clad Wood Windows,08 52 13
Plastic-Clad Wood Windows,08 52 16
Wood Window Screens,08 52 66
Wood Storm Windows,08 52 69
Vinyl Windows,08 53 13
Vinyl Window Screens,08 53 66
Vinyl Storm Windows,08 53 69
Fiberglass Windows,08 54 13
Fiberglass Window Screens,08 54 66
Fiberglass Storm Windows,08 54 69
Vinyl-Wood Composite Windows,08 54 73
Tornado-Resistant Windows,08 55 13
Blast-Resistant Windows,08 55 23
Pass Windows,08 56 19
Radio-Frequency-Interference Shielding Windows,08 56 46
Radiation Shielding Windows,08 56 49
Security Windows,08 56 53
Security Window Screens,08 56 56
Service and Teller Window Units,08 56 59
Sound Control Windows,08 56 73
Interior Insulating Windows,08 56 88
Metal Roof Windows,08 61 13
Wood Roof Windows,08 61 16
Domed Unit Skylights,08 62 13
Pyramidal Unit Skylights,08 62 16
Vaulted Unit Skylights,08 62 19
Tubular Skylights,08 62 23
Domed Metal-Framed Skylights,08 63 13
Pyramidal Metal-Framed Skylights,08 63 16
Vaulted Metal-Framed Skylights,08 63 19
Ridge Metal-Framed Skylights,08 63 23
Motorized Metal-Framed Skylights,08 63 53
Suspended Glazed Canopies,08 65 13
Automatic Door Operators,08 71 13
Security Door Hardware,08 71 53
Non-Integrated Card Key Access Control Hardware,08 74 13
Non-Integrated Keypad Access Control Hardware,08 74 16
Non-Integrated Biometric Identity Access Control Hardware,08 74 19
Automatic Window Equipment,08 75 13
Window Operators,08 75 16
Key Storage Equipment,08 79 13
Decorative Glass Glazing,08 81 13
Exterior Glass Glazing,08 81 23
Interior Glass Glazing,08 81 26
Mirrored Glass Glazing,08 83 13
Mirrored Plastic Glazing,08 83 16
Decorative Plastic Glazing,08 84 13
Solar Control Films,08 87 13
Safety and Security Films,08 87 23
Bird Control Film,08 87 26
Decorative Films,08 87 33
Fire-Resistant Glazing,08 88 13
Hurricane-Resistant Glazing,08 88 19
Cable Suspended Glazing,08 88 23
Transparent Mirrored Glazing,08 88 33
Switchable Glass,08 88 36
Pressure-Resistant Glazing,08 88 39
Radiation-Resistant Glazing,08 88 49
Security Glazing,08 88 53
Ballistics-Resistant Glazing,08 88 56
Motorized Wall Louvers,08 91 13
Operable Wall Louvers,08 91 16
Fixed Louvers,08 91 19
Door Louvers,08 91 26
Soffit Vents,08 95 13
Wall Vents,08 95 16
Explosion Vents,08 95 33
Flood Vents,08 95 43
Plaster Assemblies,09 21 13
Gypsum Board Assemblies,09 21 16
Metal Furring,09 22 13
Non-Structural Metal Framing,09 22 16
Suspension Systems,09 22 26
Lath,09 22 36
Veneer Plaster Base,09 22 39
Acoustical Gypsum Plastering,09 23 13
Fireproof Gypsum Plastering,09 23 82
Cement Stucco,09 24 23
Cement Parging,09 24 33
Acrylic Plastering,09 25 13
Lime Based Plastering,09 25 23
Natural Clay Plastering,09 25 26
Gypsum Veneer Plastering,09 26 13
Glass-Fiber-Reinforced Gypsum Fabrications,09 27 13
Simulated Plaster Fabrications,09 27 23
Cementitious Backing Boards,09 28 13
Glass-Mat Faced Gypsum Backing Boards,09 28 16
Fibered Gypsum Backing Boards,09 28 19
Gypsum Board Fireproofing,09 29 82
Ceramic Tiling,09 30 13
Quarry Tiling,09 30 16
Paver Tiling,09 30 19
Glass Mosaic Tiling,09 30 23
Plastic Tiling,09 30 26
Metal Tiling,09 30 29
Stone Tiling,09 30 33
Concrete Tiling,09 30 36
Brick Tiling,09 30 39
Thin-Set Ceramic Tiling,09 31 13
Thin-Set Quarry Tiling,09 31 16
Thin-Set Paver Tiling,09 31 19
Thin-Set Glass Mosaic Tiling,09 31 23
Thin-Set Plastic Tiling,09 31 26
Thin-Set Metal Tiling,09 31 29
Thin-Set Stone Tiling,09 31 33
Thin-Set Concrete Tiling,09 31 36
Mortar-Bed Ceramic Tiling,09 32 13
Mortar-Bed Quarry Tiling,09 32 16
Mortar-Bed Paver Tiling,09 32 19
Mortar-Bed Glass Mosaic Tiling,09 32 23
Mortar-Bed Plastic Tiling,09 32 26
Mortar-Bed Metal Tiling,09 32 29
Mortar-Bed Stone Tiling,09 32 33
Mortar-Bed Concrete Tiling,09 32 36
Conductive Ceramic Tiling,09 33 13
Conductive Quarry Tiling,09 33 16
Conductive Paver Tiling,09 33 19
Conductive Glass Mosaic Tiling,09 33 23
Conductive Plastic Tiling,09 33 26
Conductive Metal Tiling,09 33 29
Conductive Stone Tiling,09 33 33
Conductive Concrete Tiling,09 33 36
Waterproofing-Membrane Ceramic Tiling,09 34 13
Waterproofing-Membrane Quarry Tiling,09 34 16
Waterproofing-Membrane Paver Tiling,09 34 19
Waterproofing-Membrane Glass Mosaic Tiling,09 34 23
Waterproofing-Membrane Plastic Tiling,09 34 26
Waterproofing-Membrane Metal Tiling,09 34 29
Waterproofing-Membrane Stone Tiling,09 34 33
Waterproofing-Membrane Concrete Tiling,09 34 36
Chemical-Resistant Ceramic Tiling,09 35 13
Chemical-Resistant Quarry Tiling,09 35 16
Chemical-Resistant Paver Tiling,09 35 19
Chemical-Resistant Glass Mosaic Tiling,09 35 23
Chemical-Resistant Plastic Tiling,09 35 26
Chemical-Resistant Metal Tiling,09 35 29
Chemical-Resistant Stone Tiling,09 35 33
Chemical-Resistant Concrete Tiling,09 35 36
Acoustical Panel Ceilings,09 51 13
Acoustical Fabric-Faced Panel Ceilings,09 51 14
Acoustical Tile Ceilings,09 51 23
Acoustical Wood Ceilings,09 51 26
Acoustical Metal Pan Ceilings,09 51 33
Direct-Applied Acoustical Ceilings,09 51 53
Curved Profile Ceiling Suspension Assemblies,09 53 13
Metal Acoustical Ceiling Suspension Assemblies,09 53 23
Plastic Acoustical Ceiling Suspension Assemblies,09 53 33
Open Metal Mesh Ceilings,09 54 13
Luminous Ceilings,09 54 16
Mirror Panel Ceilings,09 54 19
Metal Pan Ceilings,09 54 21
Linear Metal Ceilings,09 54 23
Suspended Wood Ceilings,09 54 26
Suspended Plastic Ceilings,09 54 29
Decorative Panel Ceilings,09 54 33
Suspended Decorative Grids,09 54 36
Stretched-Fabric Ceiling Systems,09 54 43
Fabric-Wrapped Ceiling Panels,09 54 46
Fiberglass Reinforced Panel Ceilings,09 54 53
Gypsum-Panel Textured Ceilings,09 56 13
Metal-Panel Textured Ceilings,09 56 16
Plastic-Panel Textured Ceilings,09 56 19
Security Ceiling Assemblies,09 57 53
Slip-Resistant Flooring Treatment,09 61 13
Concrete Floor Staining,09 61 19
Static-Resistant Flooring Treatment,09 61 36
Asphaltic Plank Flooring,09 62 13
Concrete Plank Flooring,09 62 16
Laminate Flooring,09 62 19
Leather Flooring,09 62 26
Cork Flooring,09 62 29
Acid-Resistant Flooring,09 62 35
Acoustic Flooring,09 62 48
Synthetic Turf Flooring,09 62 53
Metal Flooring,09 62 63
Structural Glass Flooring,09 62 83
Brick Flooring,09 63 13
Stone Flooring,09 63 40
Composition Stone Flooring,09 63 43
Wood Block Flooring,09 64 16
Wood Composition Flooring,09 64 19
Wood Parquet Flooring,09 64 23
Wood Strip and Plank Flooring,09 64 29
Laminated Wood Flooring,09 64 33
Bamboo Flooring,09 64 36
Resilient Wood Flooring Assemblies,09 64 53
Wood Athletic Flooring,09 64 66
Resilient Base and Accessories,09 65 13
Resilient Sheet Flooring,09 65 16
Resilient Tile Flooring,09 65 19
Conductive Resilient Flooring,09 65 33
Static-Control Resilient Flooring,09 65 36
Linoleum Flooring,09 65 43
Resilient Athletic Flooring,09 65 66
Portland Cement Terrazzo Flooring,09 66 13
Terrazzo Floor Tile,09 66 16
Resinous Matrix Terrazzo Flooring,09 66 23
Conductive Terrazzo Flooring,09 66 33
Elastomeric Liquid Flooring,09 67 13
Epoxy-Marble Chip Flooring,09 67 16
Magnesium-Oxychloride Flooring,09 67 19
Resinous Flooring,09 67 23
Quartz Flooring,09 67 26
Fluid-Applied Athletic Flooring,09 67 66
Tile Carpeting,09 68 13
Sheet Carpeting,09 68 16
Rigid-Grid Access Flooring,09 69 13
Snap-on Stringer Access Flooring,09 69 16
Stringerless Access Flooring,09 69 19
Low-Profile Fixed Height Access Flooring,09 69 33
Access Flooring Accessories,09 69 53
Access Flooring Stairs and Stringers,09 69 56
Cork Wall Coverings,09 72 13
Vinyl-Coated Fabric Wall Coverings,09 72 16
Textile Wall Coverings,09 72 19
Wallpapering,09 72 23
Wood Wall Coverings,09 74 13
Flexible Wood Veneers,09 74 16
Stone Wall Facing,09 75 13
Stone Trim,09 75 19
Simulated Stone Wall Facing,09 75 23
Stretched-Fabric Wall Systems,09 77 13
Fabric-Wrapped Panels,09 77 23
Surfacing Films,09 77 26
Terrazzo Wall Finish,09 77 33
Vegetated Wall Systems,09 77 53
Metal Interior Wall Paneling,09 78 13
Stone-Faced Interior Wall Paneling,09 78 16
Cementitious Interior Wall Paneling,09 78 19
Phenolic Interior Wall Paneling,09 78 23
Plastic Interior Wall Paneling,09 78 26
Acoustic Board Insulation,09 81 13
Acoustic Blanket Insulation,09 81 16
Sprayed Acoustic Insulation,09 81 29
Acoustic Wall Coating,09 83 13
Acoustic Ceiling Coating,09 83 16
Acoustic Drapery,09 83 22
Fixed Sound-Absorptive Panels,09 84 13
Acoustic Stretched-Fabric Wall Systems,09 84 14
Fixed Sound-Reflective Panels,09 84 16
Moveable Sound-Absorptive Panels,09 84 23
Moveable Sound-Reflective Panels,09 84 26
Sound-Absorbing Wall Units,09 84 33
Sound-Absorbing Ceiling Units,09 84 36
Exterior Painting,09 91 13
Interior Painting,09 91 23
Exterior Staining and Finishing,09 93 13
Interior Staining and Finishing,09 93 23
Textured Finishing,09 94 13
Faux Finishing,09 94 16
Multicolor Interior Finishing,09 94 19
Gilding,09 94 23
Abrasion-Resistant Coatings,09 96 13
Graffiti-Resistant Coatings,09 96 23
Marine Coatings,09 96 26
High-Temperature-Resistant Coatings,09 96 33
Chemical-Resistant Coatings,09 96 35
Fire-Retardant Coatings,09 96 43
Intumescent Painting,09 96 46
Elastomeric Coatings,09 96 53
Epoxy Coatings,09 96 56
High-Build Glazed Coatings,09 96 59
Textured Plastic Coatings,09 96 63
Aggregate Wall Coatings,09 96 66
Steel Coatings,09 97 13
Concrete and Masonry Coatings,09 97 23
Cementitious Coatings,09 97 26
Dry Erase Coatings,09 97 35
Selective Tree and Shrub Removal,31 13 13
Selective Tree and Shrub Trimming,31 13 16
Soil Stripping and Stockpiling,31 14 13
Sod Stripping and Stockpiling,31 14 16
Radon Mitigation,31 21 13
Methane Mitigation,31 21 16
Rough Grading,31 22 13
Fine Grading,31 22 16
Finish Grading,31 22 19
Subgrade Preparation,31 23 13
Excavation,31 23 16
Dewatering,31 23 19
Fill,31 23 23
Trenching and Backfilling,31 23 33
Roadway Embankments,31 24 13
Railway Embankments,31 24 16
Stabilization Measures for Erosion and Sedimentation Control,31 25 14
Structural Measures for Erosion and Sedimentation Control,31 25 24
Retention Measures for Erosion and Sedimentation Controls,31 25 34
Rodent Control,31 31 13
Termite Control,31 31 16
Vegetation Control,31 31 19
Sanitary Vacuum System Piping,31 31 33
Soil Mixing Stabilization,31 32 13
Chemical Treatment Soil Stabilization,31 32 16
Water Injection Soil Stabilization,31 32 17
Geosynthetic Soil Stabilization and Layer Separation,31 32 19
Pressure Grouting Soil Stabilization,31 32 23
Shotcrete Soil Slope Stabilization,31 32 33
Soil Nailing,31 32 36
Rock Bolting and Grouting,31 33 13
Rock Slope Netting,31 33 23
Rock Slope Wire Mesh,31 33 26
Shotcrete Rock Slope Stabilization,31 33 33
Vegetated Rock Slope Stabilization,31 33 43
Geosynthetic Soil Reinforcement,31 34 19
Fiber Soil Reinforcement,31 34 23
Geosynthetic Slope Protection,31 35 19
Slope Protection with Slope Paving,31 35 23
Containment Barriers,31 35 26
Gabion Boxes,31 36 13
Gabion Mattresses,31 36 19
Machined Riprap,31 37 13
Non-Machined Riprap,31 37 16
Timber Shoring,31 41 13
Sheet Piling,31 41 16
Metal Hydraulic Shoring,31 41 19
Pneumatic Shoring,31 41 23
Trench Shielding,31 41 33
Pressure Grouting,31 43 13
Compaction Grouting,31 43 16
Mechanical Jacking,31 43 19
Vibroflotation,31 45 13
Densification,31 45 16
Cantilever Needle Beams,31 46 13
Underpinning Piers,31 48 13
Bracket Piers,31 48 19
Jacked Piers,31 48 23
Micropile Underpinning,31 48 33
Excavation Soil Anchors,31 51 13
Excavation Rock Anchors,31 51 16
Sheet Piling Cofferdams,31 52 13
Timber Cofferdams,31 52 16
Precast Concrete Cofferdams,31 52 19
Timber Cribwork,31 53 13
Bentonite Slurry Walls,31 56 13
Attipulgite Slurry Walls,31 56 16
Slurry-Geomembrane Composite Slurry Walls,31 56 19
Lean Concrete Slurry Walls,31 56 23
Bio-Polymer Trench Drain,31 56 26
Concrete Piles,31 62 13
Steel Piles,31 62 16
Timber Piles,31 62 19
Composite Piles,31 62 23
Bored and Augered Test Piles,31 63 13
Auger Cast Grout Piles,31 63 16
Bored and Socketed Piles,31 63 19
Bored Concrete Piles,31 63 23
Drilled Caissons,31 63 26
Drilled Concrete Piers and Shafts,31 63 29
Drilled Micropiles,31 63 33
Box Caissons,31 64 13
Excavated Caissons,31 64 16
Floating Caissons,31 64 19
Open Caissons,31 64 23
Pneumatic Caissons,31 64 26
Sheeted Caissons,31 64 29
Special Piles,31 66 13
Helical Foundation Piles,31 66 15
Special Foundation Walls,31 66 16
Refrigerated Foundations,31 66 19
Rock Foundation Anchors,31 68 13
Helical Foundation Anchors,31 68 16
Shield Driving Tunnel Excavation,31 71 13
Tunnel Excavation by Drilling and Blasting,31 71 16
Tunnel Excavation by Tunnel Boring Machine,31 71 19
Tunneling by Cut and Cover,31 71 23
Rock Reinforcement and Initial Support,31 72 13
Steel Ribs and Lagging,31 72 16
Cement Tunnel Grouting,31 73 13
Chemical Tunnel Grouting,31 73 16
Cast-in-Place Concrete Tunnel Lining,31 74 13
Precast Concrete Tunnel Lining,31 74 16
Shotcrete Tunnel Lining,31 74 19
Cast-in-Place Concrete Shaft Lining,31 75 13
Precast Concrete Shaft Lining,31 75 16
Trench Excavation for Submerged Tunnels,31 77 13
Tube Construction (Outfitting Tunnel Tubes),31 77 16
Floating and Laying Submerged Tunnels,31 77 19
Subgrade Modifications,32 11 13
Subbase Courses,32 11 16
Aggregate Base Courses,32 11 23
Asphaltic Base Courses,32 11 26
Lime Treated Base Courses,32 11 29
Cement-Treated Base Courses,32 11 33
Concrete Base Courses,32 11 36
Shell Base Course,32 11 39
Preparatory Coats,32 12 13
Asphalt Paving,32 12 16
Asphalt Paving Wearing Courses,32 12 19
Flexible Paving Surface Treatments,32 12 33
Seal Coats,32 12 36
Porous Flexible Paving,32 12 43
Asphalt Paving Joint Sealants,32 12 73
Concrete Paving,32 13 13
Decorative Concrete Paving,32 13 16
Pervious Concrete Paving,32 13 43
Concrete Paving Joint Sealants,32 13 73
Precast Concrete Unit Paving,32 14 13
Brick Unit Paving,32 14 16
Asphalt Unit Paving,32 14 23
Wood Paving,32 14 26
Rubber Paving,32 14 29
Plastic Paving,32 14 33
Stone Paving,32 14 40
Porous Unit Paving,32 14 43
Cinder Surfacing,32 15 13
Crushed Stone Surfacing,32 15 40
Aggregate-Turf Pavement,32 15 50
Curbs and Gutters,32 16 13
Sidewalks,32 16 23
Driveways,32 16 33
Parking Bumpers,32 17 13
Manufactured Traffic-Calming Devices,32 17 16
Pavement Markings,32 17 23
Tactile Warning Surfacing,32 17 26
Pavement Embedded Warning Lights,32 17 29
Pavement Snow Melting Systems,32 17 43
Synthetic Grass Surfacing,32 18 13
Synthetic Resilient Surfacing,32 18 16
Athletic Surfacing,32 18 23
Gate Operators,32 31 11
Chain Link Fences and Gates,32 31 13
Welded Wire Fences and Gates,32 31 16
Expanded Metal Fences and Gates,32 31 17
Decorative Metal Fences and Gates,32 31 19
Plastic Fences and Gates,32 31 23
Wire Fences and Gates,32 31 26
Wood Fences and Gates,32 31 29
Composite Fences and Gates,32 31 32
Cattle Guards,32 31 53
Wild Life Deterrent Fence,32 31 56
Cast-in-Place Concrete Retaining Walls,32 32 13
Precast Concrete Retaining Walls,32 32 16
Unit Masonry Retaining Walls,32 32 19
Segmental Retaining Walls,32 32 23
Metal Crib Retaining Walls,32 32 26
Timber Retaining Walls,32 32 29
Reinforced Soil Retaining Walls,32 32 34
Gabion Retaining Walls,32 32 36
Soldier-Beam Retaining Walls,32 32 43
Stone Retaining Walls,32 32 53
Site Bicycle Racks,32 33 13
Site Bicycle Lockers,32 33 14
Site Bicycle Shelters,32 33 15
Site Trash and Litter Receptacles,32 33 23
Site Manufactured Planters,32 33 33
Site Seating and Tables,32 33 43
Fabricated Pedestrian Bridges,32 34 13
Fabricated Roadway Bridges,32 34 23
Fabricated Railway Bridges,32 34 33
Screens and Louvers,32 35 13
Sound Barriers,32 35 16
Fire Barriers,32 35 23
Blast Barriers,32 35 26
Manufactured Metal Bollards,32 39 13
Manufactured Fire Pits,32 39 16
Artificial Rock Fabrications,32 39 33
Irrigation Intake Screens,32 81 13
Drip Irrigation,32 84 13
Underground Sprinklers,32 84 23
Soil Preparation,32 91 13
Planting Soil Stabilization,32 91 16
Landscape Grading,32 91 19
Hydro-Mulching,32 92 13
Plugging,32 92 16
Seeding,32 92 19
Sodding,32 92 23
Sprigging,32 92 26
Ground Covers,32 93 13
Plants and Bulbs,32 93 23
Shrubs,32 93 33
Trees,32 93 43
Exterior Artificial Plants,32 93 93
Landscape Edging,32 94 13
Landscape Timbers,32 94 16
Landscape Surfacing,32 94 19
Planters,32 94 33
Tree Grates,32 94 43
Tree Grids,32 94 46
Ground Cover Transplanting,32 96 13
Plant and Bulb Transplanting,32 96 23
Shrub Transplanting,32 96 33
Tree Transplanting,32 96 43
Concrete Slip Forming,03 11 13.13
Concrete Shoring,03 11 13.16
Falsework,03 11 13.19
Concrete Form Liners,03 11 16.13
Non-Expanding Waterstops,03 15 13.13
Expanding Waterstops,03 15 13.16
Combination Expanding and Injection Hose Waterstops,03 15 13.19
Injection Hose Waterstops,03 15 13.21
Glass Fiber-Reinforced Polymer Reinforcement Bars,03 21 21.11
Organic Fiber-Reinforced Polymer Reinforcement Bars,03 21 21.13
Carbon Fiber-Reinforced Polymer Reinforcement Bars,03 21 21.16
Polished and Dyed Concrete Finishing,03 35 43.13
Polished and Stained Concrete Finishing,03 35 43.16
Chemical Compound Membrane Concrete Curing,03 39 23.13
Sheet Membrane Concrete Curing,03 39 23.23
Precast Concrete Security Bollards,03 48 13.11
Lightweight Cellular Insulating Concrete,03 52 16.13
Lightweight Aggregate Insulating Concrete,03 52 16.16
Chemical-Resistant Masonry Mortaring,04 05 13.16
Epoxy Masonry Mortaring,04 05 13.19
Surface Bonding Masonry Mortaring,04 05 13.23
Engineered Masonry Mortaring,04 05 13.26
Refractory Masonry Mortaring,04 05 13.29
Masonry Restoration Mortaring,04 05 13.91
Chemical-Resistant Masonry Grouting,04 05 16.16
Engineered Masonry Grouting,04 05 16.26
Continuous Joint Reinforcing,04 05 19.13
Masonry Anchors,04 05 19.16
Masonry Reinforcing Bars,04 05 19.26
Stone Anchors,04 05 19.29
Masonry Control and Expansion Joints,04 05 23.13
Masonry Embedded Flashing,04 05 23.16
"Masonry Cavity Drainage, Weepholes, and Vents",04 05 23.19
Brick Veneer Masonry,04 21 13.13
Surface-Bonded Brick Masonry,04 21 13.23
Concrete Unit Veneer Masonry,04 22 .13
Surface-Bonded Concrete Unit Masonry,04 22 .16
Exposed Aggregate Concrete Unit Masonry,04 22 23.13
Fluted Concrete Unit Masonry,04 22 23.16
Molded-Face Concrete Unit Masonry,04 22 23.19
Prefaced Concrete Unit Masonry,04 22 23.23
Sound-Absorbing Concrete Unit Masonry,04 22 23.26
Split-Face Concrete Unit Masonry,04 22 23.29
Anchored Stone Masonry Veneer,04 43 13.13
Adhered Stone Masonry Veneer,04 43 13.16
Vertical Metal Ladders,05 51 33.13
Inclined Metal Ladders,05 51 33.16
Alternating Tread Ladders,05 51 33.23
Metal Catwalks,05 51 36.13
Metal Ramps,05 51 36.16
Metal Platforms,05 51 36.19
Period Horizontal Log Work,06 13 13.91
Carvel Planking,06 15 13.91
Foam Board Insulation,07 21 13.13
Fibrous Board Insulation,07 21 13.16
Mineral Board Insulation,07 21 13.19
Fiberglass-Reinforced Asphalt Shingles,07 31 13.13
Wood Shingles,07 31 29.13
Wood Shakes,07 31 29.16
Formed Metal Wall Panels,07 42 13.13
Metal Plate Wall Panels,07 42 13.16
Insulated Metal Wall Panels,07 42 13.19
Metal Composite Material Wall Panels,07 42 13.23
Wood Shingle Siding,07 46 24.13
Wood Shake Siding,07 46 24.16
Cold-Applied Built-Up Asphalt Roofing,07 51 13.13
Cold Adhesive Applied Atactic-Polypropylene-Modified Bituminous Membrane Roofing,07 52 13.11
Torch-Applied Atactic-Polypropylene-Modified Bituminous Membrane Roofing,07 52 13.13
Mechanically Fastened Atactic-Polypropylene-Modified Bituminous Membrane Roofing,07 52 13.14
Cold Adhesive Styrene-Butadiene-Styrene Modified Bituminous Membrane Roofing,07 52 16.11
Hot-Mopped Styrene-Butadiene-Styrene Modified Bituminous Membrane Roofing,07 52 16.12
Torch-Applied Styrene-Butadiene-Styrene Modified Bituminous Membrane Roofing,07 52 16.13
Mechanically Fastened Styrene-Butadiene-Styrene Modified Bituminous,07 52 16.14
Hot-Applied Rubberized Asphalt Protected Membrane Roofing,07 55 56.13
Gutter Debris Guards,07 71 23.13
