variable name,description,unit,values,value labels,classification_scheme,required
uf_level_3,"Subdivisions of UniFormat Level 2 classes, (e.g., Standard Foundations, Special Foundations).",text,text [selection from UniFormat Level 3 items],UniFormat Level 3 codes,UniFormat - A Uniform Classification of Construction Systems and Assemblies developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC),TRUE
uf_level_4,"Subdivisions of UniFormat Level 3 classes, (e.g., Wall Foundations, Column Foundations, Standard Foundation Supplementary Components).",text,text [selection from UniFormat Level 4 items],UniFormat Level 4 codes,UniFormat - A Uniform Classification of Construction Systems and Assemblies developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC),TRUE
uf_level_5,"Additional elemental information that provides further details on certain structural elements (e.g., joists, beams, trusses) in some of the Substructure (i.e., Wall Foundations) and Shell categories (i.e., Floor Structural Frame, Roof Structural Frame).",text,"[Continuous Footings, Foundation Walls, Spread Footings, Column Piers, Columns Supporting Floors, Floor Girders and Beams, Floor Trusses, Floor Joists, Columns Supporting Roofs, Roof Girders and Beams, Roof Trusses, Roof Joists]","[0CF, 0FW, 0SF, 0CP, CSF, FGB, 0FT, 0FJ, CSR, RGB, 0RT, 0RJ]",None,FALSE
mf_level_1,"Divisions of a building by the related work results (i.e., Construction result achieved in the production stage and identified by one or more of the following: the particular skill or trade involved; the construction resources used) according to MasterFormat",text,"[Concrete, Masonry, Metals, WoodPlasticsAndComposites, ThermalAndMoistureProtection, Openings, Finishes, Earthwork, ExteriorImprovements]","[03, 04, 05, 06, 07, 08, 09, 31, 32]","MasterFormat 2020 developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC), https://www.csiresources.org/standards/masterformat",TRUE
mf_level_2,"Subdivisions of MasterFormat Level 1 (mf_level_1) titles, optional.",text,text [selection from related MasterFormat Level 2 items],MasterFormat Level 2 codes,"MasterFormat 2020 developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC), https://www.csiresources.org/standards/masterformat",FALSE
mf_level_3,"Subdivisions of MasterFormat Level 2 (mf_level_2) titles, optional.",text,text [selection from related MasterFormat Level 3 items],MasterFormat Level 3 codes,"MasterFormat 2020 developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC), https://www.csiresources.org/standards/masterformat",FALSE
mf_level_4,"Subdivisions of MasterFormat Level 3 (mf_level_3) titles, optional.",text,text [selection from related MasterFormat Level 4 items],MasterFormat Level 4 codes,"MasterFormat 2020 developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC), https://www.csiresources.org/standards/masterformat",FALSE
mf_level_5,"Subdivisions of MasterFormat Level 4 (mf_level_4) titles, optional.",text,text [selection from related MasterFormat Level 5 items],MasterFormat Level 5 codes,"MasterFormat 2020 developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC), https://www.csiresources.org/standards/masterformat",FALSE
unit,Amount of construction material calculated via material takeoff. Expressed in terms of mass (i.e. kg) or volume (i.e. m3).,kilogram or cubic metre,text,NA,None,TRUE
quantity_1,"Two quantities (quantity_1 and quantity_2) are reported for each material take off, a minimum and a maximum. If the calculation of the takeoff is performed within a range of minimum and maximum, the minimum value must be written under the quantity_1 column and the maximum value must be written under the quantity_2 column. If the result of the takeoff is a discrete number, then the same amount must be entered under the quantity_1 and quantity_2 columns.  ",number,positive float numbers,NA,None,TRUE
quantity_2,"Two quantities (quantity_1 and quantity_2) are reported for each material take off, a minimum and a maximum. If the calculation of the takeoff is performed within a range of minimum and maximum, the minimum value must be written under the quantity_1 column and the maximum value must be written under the quantity_2 column. If the result of the takeoff is a discrete number, then the same amount must be entered under the quantity_1 and quantity_2 columns.  ",number,positive float numbers,NA,None,TRUE
uncertainty_score,Communicates the uncertainty of the data sources used in the quantification process of the material on a scale of 1 to 5. The pedigree matrix  originally developed by Weidema and Wesnaes (1996) is adapted to describe the uncertainty of the data sources used in the material quantification process.,number,"1, 2, 3, 4, 5",NA,"Adapted version of the pedigree matrix definitions by ""Weidema, B. P. & Wesnaes, M. S. Data quality management for life cycle inventories-an example of using data quality indicators. J. Clean. Prod. 4, 167–174 (1996)."" More detail in Guven et al. (2021).",TRUE
